symbol_tv,interval,time,open,high,low,close,volume,datetime,tf_label
BINANCE:BTCUSD,1,2025-09-19 03:17:00,117255.77,117294.1,117255.77,117259.44,0.03807,2025-09-19 03:17:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:18:00,117255.5,117255.5,117223.41,117223.41,0.00479,2025-09-19 03:18:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:19:00,117222.45,117248.48,117222.45,117248.48,0.00655,2025-09-19 03:19:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:20:00,117253.46,117274.77,117252.47,117274.77,0.01047,2025-09-19 03:20:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:21:00,117273.76,117296.13,117273.76,117295.14,0.01135,2025-09-19 03:21:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:22:00,117297.14,117314.98,117297.14,117314.98,0.00469,2025-09-19 03:22:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:23:00,117313.98,117342.43,117313.0,117318.94,0.08582,2025-09-19 03:23:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:24:00,117328.9,117328.9,117285.3,117285.3,0.04513,2025-09-19 03:24:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:25:00,117275.39,117275.39,117242.7,117242.7,0.00549,2025-09-19 03:25:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:26:00,117243.7,117275.41,117220.25,117270.28,0.00742,2025-09-19 03:26:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:27:00,117246.31,117257.91,117246.31,117250.87,0.00426,2025-09-19 03:27:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:28:00,117241.15,117259.53,117171.96,117171.96,0.37204,2025-09-19 03:28:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:29:00,117160.63,117160.63,117120.35,117137.22,0.02243,2025-09-19 03:29:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:30:00,117146.33,117146.33,117076.44,117095.59,0.06154,2025-09-19 03:30:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:31:00,117119.43,117124.39,117090.3,117090.3,0.13432,2025-09-19 03:31:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:32:00,117079.08,117079.08,117051.1,117051.1,0.09947,2025-09-19 03:32:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:33:00,117070.97,117077.41,117068.89,117068.89,0.04184,2025-09-19 03:33:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:34:00,117083.34,117083.35,117077.63,117079.5,0.00949,2025-09-19 03:34:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:35:00,117070.67,117070.67,117018.95,117018.95,0.10255,2025-09-19 03:35:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:36:00,117015.07,117022.86,117008.31,117022.86,0.01106,2025-09-19 03:36:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:37:00,117008.3,117008.3,116983.27,116989.22,0.01104,2025-09-19 03:37:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:38:00,116996.05,116999.14,116994.18,116998.14,0.00863,2025-09-19 03:38:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:39:00,117000.66,117000.66,116988.23,117000.04,0.01176,2025-09-19 03:39:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:40:00,116999.04,117039.72,116987.86,116987.86,0.16166,2025-09-19 03:40:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:41:00,116983.59,117010.4,116967.74,116968.45,0.06664,2025-09-19 03:41:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:42:00,116967.62,116974.45,116941.07,116941.07,0.04882,2025-09-19 03:42:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:43:00,116937.96,117013.87,116937.96,117013.87,0.16933,2025-09-19 03:43:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:44:00,117011.95,117020.3,116979.35,117009.26,0.01054,2025-09-19 03:44:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:45:00,116991.88,116991.88,116982.1,116983.62,0.00759,2025-09-19 03:45:00+00:00,M1
BINANCE:BTCUSD,1,2025-09-19 03:46:00,116984.91,116984.91,116954.45,116964.3,0.01347,2025-09-19 03:46:00+00:00,M1
